"id","course_no","question_no","similarity","created_at"
34,328269,38,0.6767577472818469,2026-09-14 11:58:53.318
35,327672,39,0.7145319573849374,2026-09-14 11:58:53.318
36,332176,39,0.6894508421534505,2026-09-14 11:58:53.318
37,324947,44,0.6981157338160265,2026-09-14 11:58:53.318
38,328881,45,0.6837216512151667,2026-09-14 11:58:53.318
39,329013,47,0.6776863553312448,2026-09-14 11:58:53.318
40,329947,47,0.6758454222455691,2026-09-14 11:58:53.318
41,329987,47,0.6723724584147825,2026-09-14 11:58:53.318
42,329013,52,0.6925278658219228,2026-09-14 11:58:53.318
43,324178,52,0.6783197910887095,2026-09-14 11:58:53.318
44,324947,57,0.686060376961044,2026-09-14 11:58:53.318
45,331308,57,0.6773313127244006,2026-09-14 11:58:53.318
46,22513,62,0.6787281735321357,2026-09-14 11:58:53.318
47,332930,62,0.6767544724264807,2026-09-14 11:58:53.318
48,332930,63,0.6855258506295805,2026-09-14 11:58:53.318
49,22513,63,0.6785290646944768,2026-09-14 11:58:53.318
50,318520,63,0.6779512439304896,2026-09-14 11:58:53.318
51,328052,70,0.6765637316401094,2026-09-14 11:58:53.318
52,332930,79,0.6827243185139721,2026-09-14 11:58:53.318
53,22513,79,0.678161595438673,2026-09-14 11:58:53.318
54,332891,79,0.6764888204471495,2026-09-14 11:58:53.318
55,333388,84,0.6733250431146494,2026-09-14 11:58:53.318
56,333108,85,0.6971801442990194,2026-09-14 11:58:53.318
57,327598,85,0.6801991346428335,2026-09-14 11:58:53.318
58,329633,89,0.6827075027476396,2026-09-14 11:58:53.318
59,172546,89,0.6730739277642539,2026-09-14 11:58:53.318
60,327087,90,0.7049134356811114,2026-09-14 11:58:53.318
61,333108,91,0.7097561248773564,2026-09-14 11:58:53.318
62,333218,91,0.6945948974339415,2026-09-14 11:58:53.318
63,327577,91,0.6912468103097332,2026-09-14 11:58:53.318
64,40565,92,0.7106486304332985,2026-09-14 11:58:53.318
65,332901,92,0.6946005741707412,2026-09-14 11:58:53.318
66,329808,92,0.6901762924648117,2026-09-14 11:58:53.318
67,332901,102,0.7216426153541462,2026-09-14 11:58:53.318
68,40565,102,0.7190764848237825,2026-09-14 11:58:53.318
69,329808,102,0.6950409578371549,2026-09-14 11:58:53.318
70,324217,103,0.7460318140971781,2026-09-14 11:58:53.318
71,330947,103,0.7165928010491189,2026-09-14 11:58:53.318
72,330479,103,0.6701712646106395,2026-09-14 11:58:53.318
73,174004,104,0.6962566484574884,2026-09-14 11:58:53.318
74,324192,104,0.6778921304646662,2026-09-14 11:58:53.318
75,329551,108,0.688245899136877,2026-09-14 11:58:53.318
76,326063,109,0.6744881707514736,2026-09-14 11:58:53.318
77,326434,109,0.6738039143746866,2026-09-14 11:58:53.318
78,333210,110,0.7278958148293898,2026-09-14 11:58:53.318
79,331685,110,0.6775832472771571,2026-09-14 11:58:53.318
80,174004,113,0.7110662256417689,2026-09-14 11:58:53.318
81,333120,113,0.6927885859011286,2026-09-14 11:58:53.318
82,324139,113,0.6886544831827027,2026-09-14 11:58:53.318
83,329492,114,0.7183776325867188,2026-09-14 11:58:53.318
84,327819,114,0.7151279546859228,2026-09-14 11:58:53.318
85,326035,114,0.6982394025177038,2026-09-14 11:58:53.318
86,326652,115,0.6841711369296879,2026-09-14 11:58:53.318
87,326434,116,0.6791008356761488,2026-09-14 11:58:53.318
88,326063,116,0.6702624409849947,2026-09-14 11:58:53.318
89,329492,117,0.7339977813117535,2026-09-14 11:58:53.318
90,327819,117,0.7110042928842499,2026-09-14 11:58:53.318
91,324131,117,0.7025104624340223,2026-09-14 11:58:53.318
92,324139,120,0.7109556936059973,2026-09-14 11:58:53.318
